# Aztec & Spanish, 1519 (TL1 stone vs TL4 steel) — slug|rarity|name|typeline|art_prompt|stats|flavor
macuahuitl|uncommon|Macuahuitl|Weapon · Obsidian Sword-Club · TL1|a macuahuitl, an Aztec wooden sword-club edged with rows of set obsidian blades|Damage: sw+2 cut (obsidian)\nReach 1 · Parry 0 · Min ST 11\nBlades chip: -1 dmg per solid hit\nWeight 5 lb · Availability: Uncommon|Obsidian keener than any steel, until it chips to nothing.
tepoztopilli|common|Tepoztopilli|Weapon · Obsidian Polearm · TL1|a tepoztopilli, a long Aztec wooden spear tipped and edged with obsidian blades|Damage: thr+1 imp / sw+1 cut\nReach 1-2 · Parry 0U · Min ST 10\nWeight 4 lb · Availability: Common\nSource: warrior · armory|Reach and obsidian teeth, the rank-and-file's polearm.
atlatl|common|Atlatl & Darts|Weapon · Spear-thrower · TL1|an atlatl spear-thrower with a bundle of feathered darts|Damage: thr+2 imp\nAcc 1 · Range x8 · Min ST 9\nWeight 2 lb · Availability: Common\nSource: warrior|A lever of the arm that drives a dart through cotton, or steel.
tecpatl|common|Tecpatl|Weapon · Flint Dagger · TL1|a tecpatl, an Aztec flint sacrificial dagger with a turquoise-mosaic handle|Damage: thr imp / sw cut\nReach C,1 · Parry 0 · Min ST 6\nWeight 0.5 lb · Availability: Common\nSource: priest · warrior|The altar-blade of the sun. Most have drunk hearts.
chimalli|common|Chimalli|Shield · Round Shield · TL1|a chimalli, an Aztec round shield of cane and hide faced with a feather-mosaic design|Defense Bonus: +2\nCovers: shield\nWeight 6 lb · Availability: Common\nSource: warrior · market|Feathers and cane, light, and it turns a dart.
ichcahuipilli|uncommon|Ichcahuipilli|Armor · Cotton Cuirass · TL1|an ichcahuipilli, an Aztec quilted salt-hardened cotton armor vest|DR: 2 (quilted cotton)\nCovers: torso\nWeight 6 lb · Availability: Uncommon\nSource: warrior · market|Salt-soaked cotton, copied by the Spanish within a season.
eagle|rare|Eagle Warrior Regalia|Armor · War Costume · TL1|Aztec eagle-warrior regalia, a feathered eagle-head helmet with a plumed suit|DR: 1 (3 over cotton)\nCovers: suit; +2 Intimidation\nWeight 8 lb · Availability: Rare\nSource: elite warrior society|Not bought, earned: you wear the eagle after four captives.
espada|rare|Espada Ropera|Weapon · Steel Sword · TL4|a 16th-century Spanish conquistador steel side-sword|Damage: sw+1 cut / thr+1 imp\nReach 1 · Parry 0 · Min ST 9\nWeight 3 lb · Availability: Rare (looted)\nSource: fallen conquistador|Toledo steel, a century of metallurgy the obsidian cannot answer.
morion|rare|Morion Helmet|Armor · Steel Helm · TL4|a 16th-century Spanish steel morion helmet with a tall comb crest|DR: 4 (steel)\nCovers: skull\nWeight 3 lb · Availability: Rare (looted)\nSource: fallen conquistador|The crested steel the drums of Tenochtitlan learned to fear.
breastplate|epic|Steel Breastplate|Armor · Cuirass · TL4|a 16th-century Spanish polished steel breastplate, a peto|DR: 6 (steel)\nCovers: torso\nWeight 20 lb · Availability: Epic (looted)\nSource: fallen conquistador|Obsidian shatters on it. That is the whole conquest in one line.
arquebus|epic|Arquebus|Weapon · Matchlock · TL4|a 16th-century Spanish matchlock arquebus with a forked firing rest|Damage: 2d+2 pi+\nRange 150/1500 · slow reload\nMin ST 11 · Weight 12 lb\nAvailability: Epic (looted)|Loud as thunder; to the unready, it is thunder.
crossbow|rare|Crossbow|Weapon · Crossbow · TL4|a 16th-century Spanish steel crossbow with a windlass crank|Damage: thr+4 imp\nAcc 4 · Range x25 · Min ST 7\nWeight 7 lb · Availability: Rare (looted)|Quieter than the arquebus, and it never misfires in the rain.
obsidianmirror|uncommon|Obsidian Mirror|Gear · Ritual · TL1|a polished round Aztec obsidian scrying mirror with a woven fiber border|Signal-flash / scrying focus\nA diviner's prop (awe)\nWeight 1 lb · Availability: Uncommon\nSource: priest|Smoking Mirror's own face; the priests read fate in it.
