# EPOCH Standard Kit (Mark VI+, boss-drop tier) — slug|rarity|name|typeline|art_prompt|stats|flavor
# Era string for gen_pack.sh: "far-future 2200s covert technology, sleek dark alloy with faint blue glow, subtly disguised in period styling"
sidearm|epic|EPOCH Sidearm|Weapon · Energy Pistol · Mk VI|a sleek dark-alloy compact directed-energy pistol with faint blue glowing accents, subtly styled to pass as an antique firearm|Damage: 6dx2 burn (above-TL)\nAcc 3 · ~12 charges, no ATA refill\nWeight 2 lb · EPOCH Epic|Shaped like a pistol so history won't ask questions.
blade|rare|Mark VI Blade|Weapon · Knife · Mk VI|a knife of translucent smoke-dark alloy with a faintly luminous edge|Damage: knife +2, ignores 2 DR\nSelf-sharpening · unbreakable · permanent\nWeight 1 lb · EPOCH Rare|It does not dull, and it does not care what you're wearing.
needler|rare|Needler|Weapon · Dart Gun · Mk VI|a silenced dark-alloy dart pistol with a magazine of fine needles|Affliction: HT-4 or unconscious\nSilent · limited darts\nWeight 1.5 lb · EPOCH Rare|The room goes quiet, one breath at a time.
smartweave|epic|Smartweave Underlayer|Armor · Body · Mk VI|a thin matte-black flexible smart-fabric armor vest for wear under clothing|DR: 20 pi / 12 cut (flexible)\nConcealable under period dress · permanent\nWeight 3 lb · EPOCH Epic|How did he survive that? He was wearing the future.
coatlining|rare|Reactive Coat Lining|Armor · Lining · Mk VI|the dark reactive-fabric interior lining of a coat, that stiffens on impact|DR: 8 (hardens on impact)\nTotal cover · permanent\nWeight 2 lb · EPOCH Rare|The coat that shrugs off a knife.
suppressionrig|epic|Suppression Rig|Gear · Stealth · Mk VI|a slim dark-alloy body harness device with faint indicator lights|Dampens your agent-sense signature\nCovert minutes · charge-limited\nWeight 1 lb · EPOCH Epic|Go quiet in the one sense you cannot hide.
chronojammer|epic|Chrono-Jammer|Gear · Tactical · Mk VI|a heavy dark-alloy device with a glowing core and antenna vanes|Blocks enemy drop-transit nearby\nPins a boss in the fight · charge-limited\nWeight 4 lb · EPOCH Epic|They cannot fall up the well while this hums.
transitdevice|epic|EPOCH Transit Device|Gear · Device · Mk VI|a compact ornate dark-metal EPOCH transit instrument, denser and more advanced than a brass Antikythera, faint inner glow|Bricked to ATA (biometric)\nShard fuel + prime research\nWeight 0.5 lb · EPOCH Epic|Their way home; useless to you but the star inside.
sensorbead|rare|Sensor Bead|Gear · Sensor · Mk VI|a small dark-alloy sensor device with a faint glowing readout|Reads ripples + agent signatures\nEncrypted, needs unlocking\nWeight 0.3 lb · EPOCH Rare|It feels the wake an intervention leaves.
medinjector|rare|Med-Injector|Gear · Medical · Mk VI|a sleek dark-alloy auto-injector with glowing dose indicators and vials|Emergency dose: stop bleed-out or revive\nFew doses · no refill\nWeight 0.5 lb · EPOCH Rare|Two centuries of medicine in one press.
commsbead|uncommon|Comms/Translator Bead|Gear · Comms · Mk VI|a tiny dark earpiece bead with a faint indicator light|Instant local-language fluency\nSecure squad comms\nWeight negligible · EPOCH Uncommon|Speak any tongue; be heard only by your own.
opticmonocle|rare|Targeting Monocle|Gear · Optics · Mk VI|a slim dark-alloy monocle lens with a faint glowing reticle|+2 to aimed attacks\nRangefinder · low-light\nWeight 0.2 lb · EPOCH Rare|The world, annotated.
