# Feudal Japan (Samurai, TL3) — slug|rarity|name|typeline|art_prompt|stats|flavor
katana|uncommon|Katana|Weapon · Sword · TL3|a Japanese katana with a wrapped tsuka and a lacquered saya|Damage: sw+2 cut / thr+1 imp\nReach 1-2 · Parry 0 · Min ST 10\nWeight 3 lb · Availability: Uncommon|The soul of the samurai, folded a thousand times.
wakizashi|common|Wakizashi|Weapon · Short Sword · TL3|a Japanese wakizashi short sword|Damage: sw+1 cut / thr imp\nReach 1 · Parry 0 · Min ST 8\nWeight 2 lb · Availability: Common|The blade that never leaves at the door.
tanto|common|Tanto|Weapon · Dagger · TL3|a Japanese tanto dagger with a lacquered sheath|Damage: thr imp / sw cut\nReach C,1 · Parry 0 · Min ST 6\nWeight 0.75 lb · Availability: Common|Close, quiet, and honorable enough.
yari|common|Yari|Weapon · Spear · TL3|a Japanese yari straight-headed spear|Damage: thr+2 imp\nReach 1-2 · Parry 0U · Min ST 9\nWeight 4 lb · Availability: Common|The ashigaru's wall, the duelist's surprise.
naginata|uncommon|Naginata|Weapon · Polearm · TL3|a Japanese naginata glaive, a curved blade on a long shaft|Damage: sw+3 cut\nReach 1-2* · Parry 0U · Min ST 11\nWeight 6 lb · Availability: Uncommon|Sweeps a horse's legs, or a man's.
yumi|uncommon|Yumi|Weapon · Bow · TL3|a Japanese yumi asymmetric longbow with arrows|Damage: thr+2 imp (bow)\nAcc 2 · Range x15 · Min ST 10\nWeight 2 lb · Availability: Uncommon|Taller than the archer, drawn from horseback.
oyoroi|rare|O-Yoroi Armor|Armor · Lamellar · TL3|Japanese o-yoroi samurai lacquered lamellar armor, full suit|DR: 4\nCovers: torso, arms, thighs\nWeight 30 lb · Availability: Rare\nSource: samurai · clan armory|Lacquered plates laced in silk, a lord's warplate.
kabuto|uncommon|Kabuto & Menpo|Armor · Helm · TL3|a Japanese kabuto helmet with an iron face mask (menpo) and neck guard|DR: 5\nCovers: skull, face\nWeight 5 lb · Availability: Uncommon|The iron demon-face that fights before the man does.
ashigarudo|common|Ashigaru Do|Armor · Cuirass · TL3|a simple Japanese ashigaru foot-soldier iron cuirass (do)|DR: 3\nCovers: torso\nWeight 12 lb · Availability: Common|Mass-issue iron for the spear-levy.
chochin|common|Chochin Lantern|Gear · Light · TL3|a Japanese collapsible paper chochin lantern with a candle|Light ~3-yd radius\nFolds flat\nWeight 0.5 lb · Availability: Common|A paper moon on a stick.
kaginawa|uncommon|Kaginawa|Gear · Tools · TL3|a Japanese kaginawa grappling hook on a coiled rope|Climbing / entry\nHolds ~300 lb\nWeight 3 lb · Availability: Uncommon|Over the wall before the dogs wake.
inro|uncommon|Medicine Box (Inro)|Gear · Medical · TL3|a Japanese lacquered inro medicine box with herbal remedies|First Aid at no penalty\nWeight 0.5 lb · Availability: Uncommon|Powdered roots and a steady breath.
