# High Medieval Europe (Knights, TL3) — slug|rarity|name|typeline|art_prompt|stats|flavor
arming|common|Arming Sword|Weapon · Sword · TL3|a medieval knightly arming sword with a cruciform hilt and wheel pommel|Damage: sw+1 cut / thr+1 imp\nReach 1 · Parry 0 · Min ST 10\nWeight 3 lb · Availability: Common\nSource: market · fallen soldier|The knight's constant companion.
spear|common|Spear|Weapon · Spear · TL3|a medieval infantry spear with a steel leaf head|Damage: thr+2 imp\nReach 1-2 · Parry 0U · Min ST 9\nWeight 4 lb · Availability: Common|The commoner's answer to a horse.
mace|uncommon|Flanged Mace|Weapon · Mace · TL3|a medieval steel flanged mace|Damage: sw+3 cr\nReach 1 · Parry 0 · Min ST 12\nWeight 5 lb · Availability: Uncommon|What you bring when he is wearing plate.
rondel|common|Rondel Dagger|Weapon · Dagger · TL3|a medieval rondel dagger with disc guards|Damage: thr imp\nReach C,1 · Parry -1 · Min ST 6\nWeight 1 lb · Availability: Common|Thin enough to find the gap in the harness.
longbow|uncommon|Longbow|Weapon · Bow · TL3|a medieval English yew longbow with a quiver of bodkin arrows|Damage: thr+3 imp (bow)\nAcc 3 · Range x15/x20 · Min ST 11\nWeight 3 lb · Availability: Uncommon|The wall of arrows that broke chivalry.
heater|common|Heater Shield|Shield · Shield · TL3|a medieval heater shield painted with heraldry, front view|Defense Bonus: +2\nCovers: shield\nWeight 15 lb · Availability: Common|Your arms, worn where the enemy can read them.
hauberk|uncommon|Mail Hauberk|Armor · Mail · TL3|a medieval riveted-mail hauberk|DR: 4 cut / 2 imp (flexible)\nCovers: torso, arms, thighs\nWeight 25 lb · Availability: Uncommon|Ten thousand rings against the edge.
coatofplates|rare|Coat of Plates|Armor · Body · TL3|a medieval coat of plates, iron plates riveted inside a fabric cover|DR: 5\nCovers: torso\nWeight 20 lb · Availability: Rare\nSource: knight · armory|The step between mail and full plate.
greathelm|uncommon|Great Helm|Armor · Helm · TL3|a medieval flat-topped great helm with a visor slit|DR: 6\nCovers: skull, face (-per)\nWeight 8 lb · Availability: Uncommon|A bucket of steel: you trade sight for a whole head.
gambeson|common|Gambeson|Armor · Padding · TL3|a medieval quilted gambeson|DR: 1 (worn under mail: +1)\nCovers: torso, arms\nWeight 8 lb · Availability: Common|Everyone's first armor, and mail's best friend.
lantern|common|Candle Lantern|Gear · Light · TL3|a medieval horn-paned candle lantern|Light ~3-yd radius\nWind-resistant\nWeight 2 lb · Availability: Common|A tamed flame for the castle stair.
healerkit|uncommon|Barber-Surgeon's Kit|Gear · Medical · TL3|a medieval barber-surgeon's roll of iron tools, needles and herb pouches|First Aid at no penalty\nCrude Surgery\nWeight 4 lb · Availability: Uncommon|Bite the strap. This will hurt.
