# Roman Imperial (Legionary, TL2) — slug|rarity|name|typeline|art_prompt|stats|flavor
gladius|common|Gladius|Weapon · Short Sword · TL2|a Roman gladius short stabbing sword with a bone grip and scabbard|Damage: thr+1 imp / sw cut\nReach 1 · Parry 0 · Min ST 8\nWeight 2 lb · Availability: Common\nSource: soldier · armory|Two inches in the right place is plenty.
pilum|common|Pilum|Weapon · Javelin · TL2|a Roman pilum heavy javelin with a long soft-iron shank|Damage: thr+2 imp\nRange x2.5 · Min ST 10\nBends on impact, fouling shields\nWeight 4 lb · Availability: Common|Thrown once; then it is his problem, not yours.
pugio|common|Pugio|Weapon · Dagger · TL2|a Roman pugio dagger with an ornate inlaid sheath|Damage: thr imp / sw cut\nReach C,1 · Parry 0 · Min ST 5\nWeight 1 lb · Availability: Common|The last argument, and Caesar's.
spatha|uncommon|Spatha|Weapon · Sword · TL2|a Roman spatha long cavalry sword|Damage: sw+1 cut / thr imp\nReach 1-2 · Parry 0 · Min ST 10\nWeight 3 lb · Availability: Uncommon|Reach from the saddle.
scutum|common|Scutum|Shield · Body Shield · TL2|a Roman rectangular curved scutum shield with a painted wings-and-lightning design|Defense Bonus: +3\nCovers: shield (large)\nWeight 22 lb · Availability: Common|Alone it guards you; locked, it guards the century.
segmentata|uncommon|Lorica Segmentata|Armor · Plate · TL2|Roman lorica segmentata banded iron plate armor|DR: 5\nCovers: torso, shoulders\nWeight 20 lb · Availability: Uncommon|Banded iron, the empire's assembly-line armor.
hamata|common|Lorica Hamata|Armor · Mail · TL2|a Roman lorica hamata mail shirt|DR: 4 cut / 2 imp\nCovers: torso, shoulders\nWeight 22 lb · Availability: Common|Older than the segmentata, and it outlived it.
galea|common|Galea|Armor · Helm · TL2|a Roman legionary iron galea helmet with cheek guards and neck flange|DR: 4\nCovers: skull, cheeks\nWeight 4 lb · Availability: Common|Cheek-plates and a flange, a soldier's whole head.
caligae|common|Caligae|Armor · Footwear · TL2|a pair of Roman hobnailed marching sandals, caligae|+1 Move on roads\nWeight 2 lb · Availability: Common|The tread that conquered the world, one mile at a time.
lamp|common|Oil Lamp|Gear · Light · TL2|a Roman bronze oil lamp with a small flame|Light ~2-yd radius\nHours per fill\nWeight 1 lb · Availability: Common|A cupped flame in the insula dark.
rope|common|Hemp Rope (30 ft)|Gear · Utility · TL2|a coil of Roman hemp rope|Climbing / siege / utility\nHolds ~300 lb\nWeight 5 lb · Availability: Common|The legion's other weapons: rope and a shovel.
medicus|uncommon|Medicus Kit|Gear · Medical · TL2|a Roman army medicus kit of bronze forceps, probes, scalpels and salve jars|First Aid at +1\nBasic Surgery · wound salves\nWeight 3 lb · Availability: Uncommon|The legions had field hospitals when kings had prayers.
